cell_id,acq_date,latitude,longitude,frp,t_max,h_mean,wind_max,ndvi,ndwi,confidence,precip_sum,elevation_m
645059884,2026-09-05,31.05599,8.03102,6.88,35.0,45.0,36.0,0.056,-0.147,n,0.0,175.0
2140194728,2026-09-05,31.05626,8.02838,3.62,35.0,45.0,36.0,0.054,-0.127,n,0.0,176.0
1877406176,2026-09-05,31.95792,11.14439,1.85,30.3,53.0,37.8,0.055,-0.08,n,0.0,248.0
2037006814,2026-09-05,30.25287,8.0846,1.81,35.7,33.0,29.2,0.059,-0.145,n,0.0,219.0
403144727,2026-09-05,31.95382,11.14511,0.85,30.3,53.0,37.8,0.052,-0.105,n,0.0,250.0
1762559483,2026-09-05,30.38711,7.90331,1.35,35.7,33.0,29.2,0.05,-0.11,n,0.0,205.0
3170386676,2026-09-05,30.61028,8.2602,0.94,35.7,33.0,29.2,0.064,-0.14,n,0.0,215.0
286711499,2026-09-05,30.61263,8.2638,1.2,35.7,33.0,29.2,0.033,-0.133,n,0.0,197.0
2311302349,2026-09-05,30.6136,8.25993,1.28,35.7,33.0,29.2,0.043,-0.116,n,0.0,203.0
3573530254,2026-09-05,30.66351,8.10463,0.86,35.7,33.0,29.2,0.068,-0.178,n,0.0,198.0
2296843084,2026-09-05,30.66443,8.10092,0.86,35.7,33.0,29.2,0.048,-0.103,n,0.0,198.0
2849027842,2026-09-05,30.82575,8.0286,1.8,35.0,45.0,36.0,0.061,-0.134,n,0.0,195.0
3255232511,2026-09-05,30.99385,8.42597,1.78,35.0,45.0,36.0,0.062,-0.125,n,0.0,241.0
1179728732,2026-09-05,31.01361,8.16249,1.14,35.0,45.0,36.0,0.062,-0.15,n,0.0,201.0
1424363823,2026-09-05,31.05539,8.03731,2.76,35.0,45.0,36.0,0.062,-0.139,n,0.0,177.0
78587374,2026-09-05,31.05627,8.03367,6.78,35.0,45.0,36.0,0.073,-0.251,h,0.0,172.0
1591101476,2026-09-05,31.17735,8.10462,1.15,35.0,45.0,36.0,0.064,-0.142,n,0.0,187.0
2189841684,2026-09-05,31.95426,11.14164,0.99,30.3,53.0,37.8,0.055,-0.102,n,0.0,250.0
740721622,2026-09-05,30.20552,7.6173,2.14,35.7,33.0,29.2,0.065,-0.132,n,0.0,221.0
1807963102,2026-09-05,30.20588,7.61879,2.41,35.7,33.0,29.2,0.067,-0.143,n,0.0,213.0
796995550,2026-09-05,30.24873,8.07809,21.61,35.7,33.0,29.2,0.069,-0.14,n,0.0,218.0
2394717172,2026-09-05,30.25059,8.08463,48.6,35.7,33.0,29.2,0.066,-0.134,l,0.0,227.0
1556262997,2026-09-05,30.25529,8.07597,21.61,35.7,33.0,29.2,0.067,-0.134,n,0.0,255.0
1481431438,2026-09-05,30.2571,8.08239,48.6,35.7,33.0,29.2,0.053,-0.121,l,0.0,250.0
146948173,2026-09-05,30.98954,8.42503,6.55,35.0,45.0,36.0,0.062,-0.131,n,0.0,205.0
3789059080,2026-09-05,30.98973,8.42733,4.41,35.0,45.0,36.0,0.059,-0.124,n,0.0,210.0
3718789776,2026-09-05,31.01147,8.16086,8.8,35.0,45.0,36.0,0.063,-0.144,n,0.0,199.0
1563456468,2026-09-05,31.36707,8.01804,4.4,35.0,45.0,36.0,0.058,-0.113,n,0.0,185.0
533018643,2026-09-05,30.66273,8.10406,1.03,35.7,33.0,29.2,0.066,-0.167,n,0.0,199.0
1597989723,2026-09-05,30.82706,8.02916,1.08,35.0,45.0,36.0,0.06,-0.143,n,0.0,200.0
2476364740,2026-09-05,31.01521,8.16193,8.15,35.0,45.0,36.0,0.06,-0.14,l,0.0,194.0
2948756670,2026-09-05,31.01551,8.16597,10.17,35.0,45.0,36.0,0.057,-0.123,n,0.0,187.0
2295362171,2026-09-05,31.05427,8.03179,3.85,35.0,45.0,36.0,0.055,-0.156,n,0.0,175.0
887334026,2026-09-05,31.05457,8.03569,8.03,35.0,45.0,36.0,0.068,-0.194,l,0.0,177.0
1314714427,2026-09-05,33.36731,8.54802,0.69,36.5,49.0,30.2,0.063,-0.008,n,0.0,23.0
2113553485,2026-09-05,33.87249,9.99199,2.65,31.5,58.0,23.0,0.03,-0.129,n,0.0,68.0
1516806053,2026-09-05,36.50121,10.02659,0.44,33.8,50.0,20.2,0.043,-0.159,n,0.0,140.0
623783860,2026-09-05,36.67839,9.92053,0.77,32.5,58.0,20.2,0.059,-0.102,n,0.0,72.0
3215124398,2026-09-05,36.16088,9.19323,1.69,30.2,44.0,13.7,0.117,-0.163,n,0.0,517.0
2087164203,2026-09-05,36.34322,9.23855,4.0,30.2,44.0,13.7,0.099,-0.171,l,0.0,430.0
1993198063,2026-09-05,36.72932,9.23629,5.96,34.1,46.0,18.7,0.107,-0.076,n,0.0,157.0
3179976455,2026-09-05,36.78976,9.40146,6.68,34.1,46.0,18.7,0.111,-0.107,n,0.0,272.0
1944332883,2026-09-05,36.79076,9.4053,6.68,34.1,46.0,18.7,0.112,-0.073,h,0.0,253.0
3207414154,2026-09-05,36.79177,9.40922,8.21,34.1,46.0,18.7,0.107,-0.09,n,0.0,259.0
2834715849,2026-09-05,36.79356,9.40415,4.4,34.1,46.0,18.7,0.102,-0.092,l,0.0,264.0
2830995616,2026-09-05,36.80883,9.3101,3.16,34.1,46.0,18.7,0.112,-0.021,n,0.0,403.0
2586861330,2026-09-05,36.80983,9.31386,6.22,34.1,46.0,18.7,0.127,-0.038,n,0.0,385.0
