latitude,longitude,acq_date,incendie,t_max,wind_max,precip_sum,h_mean,ndvi,ndwi
36.15841,10.28465,2018-05-09,1,24.1,20.6,0.0,63.85,0.082,-0.164
35.60927045519369,9.3388032498902,2017-09-07,0,28.9,11.1,1.1,56.650000000000006,0.112,-0.142
36.48522272359682,10.039674610433998,2017-06-12,0,31.4,16.2,0.0,52.900000000000006,0.198,-0.162
31.49207,9.4923,2025-05-29,1,33.6,17.1,0.0,49.6,0.06,-0.092
35.48323022678925,9.278088221443516,2017-05-07,0,28.6,15.8,0.0,57.1,0.125,-0.132
34.96781,10.88351,2021-10-17,1,24.8,14.7,1.5,62.8,0.006,0.053
36.49884,10.02536,2017-05-23,1,30.2,16.2,0.0,54.7,0.106,-0.112
36.19125761019258,10.099868174272592,2020-08-02,0,42.1,17.3,0.0,36.85,0.148,-0.154
36.25942424886245,10.12245605091966,2019-09-14,0,28.7,13.1,0.0,56.95,0.247,-0.145
36.08988560578309,9.652454496571208,2022-06-10,0,24.0,30.2,0.0,64.0,0.359,0.074
36.21625697551087,9.165286024915414,2018-10-19,0,24.0,6.5,0.0,64.0,0.157,-0.221
37.12571575193747,9.280334661852535,2022-10-26,0,31.5,17.2,0.0,52.75,0.344,0.012
36.75378,9.26881,2017-08-07,1,41.4,18.5,0.0,37.900000000000006,0.125,-0.165
36.925125935935405,10.905485670763658,2025-08-24,0,29.5,15.4,0.0,55.75,0.12,-0.173
37.03036489950608,9.294180844911835,2021-05-22,0,28.4,21.0,0.0,57.400000000000006,0.499,0.091
31.70426,9.24448,2021-07-18,1,36.0,21.3,0.0,46.0,0.076,-0.116
37.151248723237885,9.225831345373468,2024-05-13,0,28.6,19.7,0.6,57.1,0.409,0.097
35.773215265409384,8.67048237215172,2020-09-03,0,24.7,10.0,1.8,62.95,0.076,-0.18
36.49034916699304,8.49716198212105,2019-06-01,0,23.1,11.7,0.0,65.35,0.25,0.05
31.48531,9.54112,2018-11-11,1,18.2,18.6,0.0,72.7,0.074,-0.116
35.32238,8.79493,2017-08-05,1,36.4,14.3,0.0,45.400000000000006,0.252,-0.106
36.05947475852903,9.334412213710554,2025-05-06,0,22.3,13.8,4.6,66.55,0.221,-0.034
31.40326,9.85435,2019-07-22,1,35.4,32.9,0.0,46.900000000000006,0.084,-0.111
35.54756945742451,9.09833236099376,2016-06-04,0,29.5,16.0,0.1,55.75,0.369,0.073
36.21465603738075,9.04860814258372,2024-07-22,0,30.7,25.9,0.0,53.95,0.087,-0.124
36.93999047851086,10.81896902100086,2023-08-22,0,31.3,17.7,0.0,53.05,0.269,-0.039
36.844,9.93433,2022-09-14,1,40.4,20.8,0.2,39.400000000000006,0.152,-0.072
34.9477565759347,8.813659228145438,2016-09-04,0,32.8,13.7,0.0,50.8,0.093,-0.147
31.70411,9.24198,2025-10-06,1,29.3,24.3,0.0,56.05,0.049,-0.092
36.51118375943656,10.744512816043326,2021-05-15,0,24.4,27.0,0.0,63.400000000000006,0.263,-0.097
36.5290046313996,8.923041011256263,2024-05-26,0,32.4,11.6,0.0,51.400000000000006,0.097,-0.131
36.7705598427451,10.628697836574752,2022-10-14,0,24.1,26.6,2.2,63.85,0.379,0.06
36.99789,9.71694,2025-09-05,1,31.8,13.6,0.0,52.3,0.093,-0.12
36.5374,8.66863,2025-09-13,1,33.6,12.6,0.0,49.6,0.124,-0.103
36.980976774791934,9.762552608947964,2024-10-01,0,33.6,17.1,0.0,49.6,0.055,-0.18
35.040429401237,8.725401718785555,2020-07-01,0,38.5,19.5,0.0,42.25,0.136,-0.131
